title,author
Letters: Summer 1926,"Boris Pasternak, Marina Tsvetaeva, and Rainer Maria Rilke"
Boy’s Life,Robert R. McCammon
The Miseducation of Cameron Post,Emily M. Danforth
Rental Person Who Does Nothing,Shoji Morimoto (translated
The Year of Magical Thinking,Joan Didion
Roaming,Mariko Tamaki and Jillian Tamaki
Lights,Brenna Thummler
Piranesi,Susanna Clarke
Heartstopper Vols. 1-4,Alice Oseman
Nimona,N.D. Stevenson
Novelist as a Vocation,Haruki Murakami
The Year of Magical Thinking,Joan Didion
The White Album,Joan Didion
Boy’s Life,Robert McCammon
Rental Person Who Does Nothing,Shoji Morimoto (translated
The Wall,Marlen Haushofer (translated
Lesser Known Monsters of the 21st Century,Kim Fu
The Laws of the Skies,Gregoire Courtois (translated
The Breaks,Julietta Singh
In Limbo,Deb JJ Lee
"Two Old Women: An Alaska Legend of Betrayal, Courage and Survival",Velma Wallis
Lonely Castle in the Mirror,Mizuki Tsujimura
A Map to the Sun,Sloane Leong
My Brilliant Friend,Elena Ferrante
Mild Vertigo,Mieko Kanai
Giovanni’s Room,James Baldwin
Pod,Laline Paull
A New Season,Terry Fallis
Roaming,Mariko and Jillian Tamaki
Pageboy,Elliot Page
Kitchen Confidential,Anthony Bourdain
A Visit from the Goon Squad,Jennifer Egan
The Way of Kings,Brandon Sanderson
The Blue Castle,L.M. Montgomery
Lexicon,Max Barry
True Grit,Charles Portis
Gender Queer,Maia Kobabe
A Single Man,Christopher Isherwood
Pageboy,Elliot Page
Until I Love Myself Vol. 1,Poppy Pesuyama
"Goodbye, Eri",Tatsuki Fujimoto
Soichi,Junji Ito
Mrs. Dalloway,Virginia Woolf
Jonathan Strange & Mr Norrell,Susanna Clarke
Night and Day,Virginia Woolf
The Murder of Roger Ackroyd,Agatha Christie
The Mousetrap,Agatha Christie
Bring Up the Bodies,Hilary Mantel
Wolf Hall,Hilary Mantel
Bleak House,Charles Dickens
"Evalina, or The History of a Young Lady’s Entrance Into the World",Frances Burney
Oliver Twist,Charles Dickens
The Secret History,Donna Tartt
We,Yevgeny Zamyatin
1984,George Orwell
East West Street: On the Origins of “Genocide” and “Crimes Against Humanity”,Philippe Sands
The Five: The Untold Lives of the Women Killed,Jack the Ripper
"Blitz Spirit: Voices of Britain Living Through Crisis, 1939-1945",Becky Brown
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou
Into the Wild,Jon Krakauer
Shirley,Charlotte Brontë
The Day of the Triffids,John Wyndham
Do Androids Dream of Electric Sheep?,Philip K. Dick
Ubik,Phlip K. Dick
The Blue Castle,L.M. Montgomery
"God Bless You, Mr Rosewater",Kurt Vonnegut
"Green Grass, Running Water",Thomas King
Fauna,Christiane Vadnais
"Soldiers, Hunters, Not Cowboys",Aaron Tucker
Grimmish,Michael Winkler
Cat + Gamer Vol. 1,Wataru Nadatani
Revival,Stephen King
The Queen of the Tearling,Erika Johansen
The Way of Kings,Brandon Sanderson
Lexicon,Max Barry
Lonesome Dove,Larry McMurtry
Watership Down,Richard Adams
"Emily of New Moon, Emily Climbs, and Emily’s Quest",L.M. Montgomery
The Eyes of the Dragon,Stephen King
The Wall,Marlen Haushofer (translated
We Were Dreamers,Simu Liu
True Biz,Sara Novic
The Blue Castle,L.M. Montgomery
Know My Name,Chanel Miller
Book Game: Sad Janet,"Lucie Britsch, The Guest"
Anne of Green Gables: A Graphic Novel,"Mariah Marsden, Brenna Thummler"
American Gods,Neil Gaiman
Know My Name,Chanel Miller
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson
The Art of the Impressionists,Janice Anderson
Turner,Graham Reynolds
Cezanne,Frank Elgar
A Room with a View,E. M. Forster
Howards End,E.M. Forster
You Can't Go Home Again,Thomas Wolfe
Like Water for Chocolate,Laura Esquivel
Garden in the Wind,Gabrielle Roy
American Gods,Neil Gaiman
A Visit from the Goon Squad,Jennifer Egan
Out There,Kate Folk
Anne of Green Gables: A Graphic Novel,"Mariah Marsden, Brenna Thummler"
"The Blade Itself (The First Law, #1)",Joe Abercrombie
"""The Call of Cthulhu""",H. P. Lovecraft
True Grit,Charles Portis
Outlawed,Anna North
Swimming Studies,Leanne Shapton
Catch-22,Joseph Heller
Cloud Atlas,David Mitchell
Ballad for Sophie,Filipe Melo and Juan Cavia
"Unwind (Unwind, #1)",Neal Shusterman
Weasels in the Attic,Hiroko Oyamada
"Bird Box (Bird Box, #1)",Josh Malerman
A Psalm for the Wild-Built,Becky Chambers
“Make Good Art”,Neil Gaiman
The Ghost in the House,Sara O'Leary
I Am the Messenger,Markus Zusak
Aesthetica,Allie Rowbottom
The Chestnut Man,Søren Sveistrup
The One Hundred Nights of Hero,Isabel Greenberg
Novelist as a Vocation,Haruki Murakami
The Glass Hotel,Emily St. John Mandel
People From My Neighbourhood,Hiromi Kawakami
The Guest Cat,Takashi Hiraide
American Gods,Neil Gaiman
Boy Parts,Eliza Clark
A Crooked Tree,Una Mannion
"Slow Days, Fast Company",Eve Babitz
Novelist as a Vocation,Haruki Murakami
Poles,Terry Fallis
"Astral Season, Beastly Season",Tahi Saihate
Animal Farm,George Orwell
Unearthing: A Story of Tangled Love and Family Secrets,Kyo Maclear
Carnality,Lina Wolff
Big Shadow,Marta Balcewicz
Poles,Terry Fallis
The Heart's Invisible Furies,John Boyne
Rebecca,Daphne du Maurier
Wuthering Heights,Emily Brontë
A Master of Djinn,P. Djèlí Clark
The Power,Naomi Alderman
Red Rising,Pierce Brown
American Gods,Neil Gaiman
Lexicon,Max Barry
A Prayer for the Crown-Shy: A Monk and Robot Book,Becky Chambers
Manga Classics Anne of Green Gables,Crystal S. Chan
The Cider House Rules,John Irving
Outlawed,Anna North
Assembly,Natasha Brown
Boulder,Eva Baltasar Sardà
Charles Dickens: A Life,Claire Tomalin
Break and Enter,Norah McClintock
Ruby Red,Kerstin Gier
Y/N,Esther Yi
Trigger Warning,Neil Gaiman
The Cider House Rules,John Irving
Saving Time,Jenny Odell
Real Self-Care,Pooja Lakshmin
Cursed Bunny,Bora Chung
I Want To Die But I Want To Eat Tteokbokki,Baek Sehee
"Shirley, A Tale",Charlotte Brontë
The Red Arrow,William Brewer
Waiting for Ted,Marieke Bigg
Saving Time,Jenny Odell
McGlue,Ottessa Moshfegh
Eileen,Ottessa Moshfegh
My Year of Rest and Relaxation,Ottessa Moshfegh
Trigger Warning,Neil Gaiman
Albatross,Terry Fallis
Bliss Montage,Ling Ma
Severance,Ling Ma
Weasels in the Attic,Hiroko Oyamada
A Psalm for the Wild-Built,Becky Chambers
Weasels in the Attic,Hiroko Oyamada
Manga Classics Anne of Green Gables,Crystal S. Chan
We Spread,Iain Reid
The Road,Cormac McCarthy
A Day of Fallen Night,Samantha Shannon
The Joy Luck Club,Amy Tan
Lonely Castle in the Mirror,Mizuki Tsujimura
Bliss Montage,Ling Ma
Jillian,Halle Butler
The Midnight Library,Matt Haig
After I Do,Taylor Jenkins Reid
The Nakano Thrift Shop,Hiromi Kawakami
A Jest of God,Margaret Laurence
Legends & Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree
Norwegian Wood,Haruki Murakami
11/22/63,Stephen King
How to Build a Girl,Caitlin Moran
If I Had Your Face,Frances Cha
King of Scars,Leigh Bardugo
Farseer trilogy,Robin Hobb
The Broken Earth Series,N.K. Jemisin
The Diviners,Libba Bray
Going Bovine,Libba Bray
Beauty Queens,Libba Bray
We Are Not Free,Traci Chee
The Adventures of Amina Al-Sirafi,S. A. Chakraborty
Y/N,Esther Yi
"Idol, Burning",Rin Usami
"Astral Season, Beastly Season",Tahi Saihate
Slouching Towards Bethlehem,Joan Didion
A Gentleman in Moscow,Amor Towles
My Brilliant Friend,Elena Ferrante
The Invisible Life of Addie LaRue,V. E. Schwab
Memoirs of a Teenage Amnesiac,Gabrielle Zevin
The Chosen and the Beautiful,Nghi Vo
Metal and Bone,C. I. Chevron
Stardust,Neil Gaiman
The Priory of the Orange Tree,Samantha Shannon
Hamnet,Maggie O'Farrell
Pachinko,Min Jin Lee
Albatross,Terry Fallis
There There,Tommy Orange
Almond,Sohn Won-pyung
Winter in Sokcho,Elisa Shua Dusapin
Daughter of the Forest,Juliet Marillier
The Factory,Hiroko Oyamada
The Hole,Hiroko Oyamada
We Spread,Iain Reid
Closer Baby Closer,Savannah Brown
In the Margins: On the Pleasures of Reading and Writing,Elena Ferrante
Manga Classics Anne of Green Gables,Crystal S. Chan
The Great Gatsby,F. Scott Fitzgerald
The Bell Jar,Sylvia Plath
The Miniaturists,Barbara Browning
Outlawed,Anna North
Y: The Last Man,Brian K. Vaughan and Pia Guerra
Hex Hall,Rachel Hawkins
Outlawed,Anna North
A Beautifully Foolish Endeavor,Hank Green
An Absolutely Remarkable Thing,Hank Green
The Factory,Hiroko Oyamada
50 Books to Read If You're an Armchair Detective,Eric Karl Anderson
Vanishing Fleece: Adventures in American Wool,Clara Parkes
Are You Happy Now,Hanna Jameson
Ballad for Sophie,Filipe Melo and Juan Cavia
Legends & Lattes,Travis Baldree
Talk to My Back,Murasaki Yamada
"Hand Drawn Halifax: Portraits of the City's Buildings, Landmarks, Neighbourhoods and Residents",Emma FitzGerald
It's Lonely at the Centre of the Earth,Zoe Thorogood
Very Cold People,Sarah Manguso
In the Margins. On the Pleasures of Reading and Writing,Elena Ferrante
Let Me Tell You What I Mean,Joan Didion
The Boy and the Dog,Hase Seishū
Aesthetica,Allie Rowbottom
First Love,Gwendoline Riley
Rosewater,Tade Thompson
"Idol, Burning",Rin Usami
Winter in Sokcho,Elisa Shua Dusapin
11/22/63,Stephen King
The Woman in the Purple Skirt,Natsuko Imamura
I'll Give You the Sun,Jandy Nelson
His Dark Materials,Philip Pullman
Three Women,Lisa Taddeo
Girlhood,Melissa Febos
A Court of Thorns and Roses,Sarah J. Maas
The Wee Free Men,Terry Pratchett
Howl's Moving Castle,Diana Wynne Jones
Princess of the Midnight Ball,Jessica Day George
Gathering Moss,Robin Wall Kimmerer
Braiding Sweetgrass,Robin Wall Kimmerer
"Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness",Peter Godfrey-Smith
Just My Type,Simon Garfield
"Underground, Overground: A Passenger's History of the Tube",Andrew Martin
My Cool Houseboat,Jane Field-Lewis
Vanishing Fleece: Adventures in American Wool,Clara Parkes
Mycelium Running,Paul Stamets
Radical Mycology: A Treatise On Seeing And Working With Fungi,Peter McCoy
All That the Rain Promises and More,David Arora
Ghost Music,An Yu
Entangled Life,Merlin Sheldrake
The Disaster Tourist,Yun Ko-eun
Travels with Charley: In Search of America,John Steinbeck
"Saga, Volume 10",Brian K. Vaughan and Fiona Staples
Agatha Christie: An Elusive Woman,Lucy Worsley
Wedding Toasts I'll Never Give,Ada Calhoun
The Woman in the Purple Skirt,Natsuko Imamura
Eileen,Ottessa Moshfegh
Station Eleven,Emily St. John Mandel
Mexican Gothic,Silvia Moreno-Garcia
Hotline,Dimitri Nasrallah
Greenwood,Michael Christie
Ducks: Two Years in the Oil Sands,Kate Beaton
Lights,Brenna Thummler
1Q84,Haruki Murakami
The Dud Avocado,Elaine Dundy
Carrie,Stephen King
Orwell's Roses,Rebecca Solnit
The Priory of the Orange Tree,Samantha Shannon
A Tale for the Time Being,Ruth Ozeki
The Liars' Club,Mary Karr
11/22/63,Stephen King
Haroun and the Sea of Stories,Salman Rushdie
The Dutch House,Ann Patchett
How Should a Person Be?,Sheila Heti
Motherhood,Sheila Heti
Wedding Toasts I'll Never Give,Ada Calhoun
The Woman in the Purple Skirt,Natsuko Imamura
Orwell's Roses,Rebecca Solnit
Sheets,Brenna Thummler
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki
The Life-Changing Manga of Tidying Up: A Magical Story,Marie Kondo
Norwegian Wood,Haruki Murakami
1Q84,Haruki Murakami
A Tale for the Time Being,Ruth Ozeki
The Book of Form and Emptiness,Ruth Ozeki
The Liars' Club,Mary Karr
Fifteen,Beverly Cleary
The Luckiest Girl,Beverly Cleary
The Woman in the Purple Skirt,Natsuko Imamura
Ducks: Two Years in the Oil Sands,Kate Beaton
Hark! A Vagrant,Kate Beaton
The Way of Kings,Brandon Sanderson
A Dance with Dragons,George R. R. Martin
11/22/63,Stephen King
Les Misérables,Victor Hugo
The Cider House Rules,John Irving
The Count of Monte Cristo,Alexandre Dumas
Ariel,Sylvia Plath
Lunch Poems,Frank O'Hara
George Orwell: The Complete Poetry,George Orwell
Pachinko,Min Jin Lee
The Last House on Needless Street,Catriona Ward
Boy Swallows Universe,Trent Dalton
The Wind-Up Bird Chronicle,Haruki Murakami
Down and Out in Paris and London,George Orwell
The Alpine Path,Lucy Maud Montgomery
Serious concerns,Wendy Cope
The Waste Land,T. S. Eliot
Where the Drowned Girls Go,Seanan McGuire
To Paradise,Hanya Yanagihara
Life Ceremony,Sayaka Murata
Malibu Rising,Taylor Jenkins Reid
Lapvona,Ottessa Moshfegh
Pure Colour,Sheila Heti
Sea of Tranquility,Emily St. John Mandel
A Day of Fallen Night,Samantha Shannon
Saving Time: Discovering a Life Beyond the Clock,Jenny Odell
How to Do Nothing: Resisting the Attention Economy,Jenny Odell
Hell Phone: Book Two,Benji Nate
Weasels in the Attic,Hiroko Oyamada
The Hole,Hiroko Oyamada
Among Others,Jo Walton
The Two Towers,J.R.R Tolkien
The Night Circus,Erin Morgenstern
Runaway,Alice Munro
Lives of Girls and Women,Alice Munro
Himawari House,Harmony Becker
Anya's Ghost,Vera Brosgol
She Who Became the Sun,Shelley Parker-Chan
The Liars' Club,Mary Karr
Norwegian Wood,Haruki Murakami
The Dud Avocado,Elaine Dundy
Jillian,Halle Butler
Bonjour Tristesse,Françoise Sagan
The Woman in the Purple Skirt,Natsuko Imamura
Diary of a Void,Emi Yagi
Untold Night and Day,Bae Suah
Indelicacy,Amina Cain
"My Sister, the Serial Killer",Oyinkan Braithwaite
"From the Ashes: My Story of Being Indigenous, Homeless, and Finding My Way",Jesse Thistle
Letters to a Young Gymnast,Nadia Comăneci
The Dishwasher,Stéphane Larue
I'm Glad My Mom Died,Jennette McCurdy
Foe,Iain Reid
Pachinko,Min Jin Lee
The English Understand Wool (Storybook ND Series),Helen DeWitt
The Last Samurai,Helen DeWitt
There's No Such Thing as an Easy Job,Kikuko Tsumura (Translated
Convenience Store Woman,Sayaka Murata
Ballad for Sophie,Filipe Melo and Juan Cavia
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz
Fifteen,Beverly Cleary
The Night Circus,Erin Morgenstern
Anya's Ghost,Vera Brosgol
Nothing But Blackened Teeth,Cassandra Khaw
Séance Tea Party,Reimena Yee
The Vanishing Half,Brit Bennett
Strange Weather in Tokyo,Hiromi Kawakami
The Flatshare,Beth O'Leary
Catch and Kill,Ronan Farrow
The Girl with the Dragon Tattoo,Stieg Larsson
The Anthropocene Reviewed,John Green
Death in Her Hands,Ottessa Moshfegh
The Alpine Path,Lucy Maud Montgomery
Boy Swallows Universe,Trent Dalton
Out,Natsuo Kirino
Lonely Castle in the Mirror,Mizuki Tsujimura
Know My Name: A Memoir,Chanel Miller
Homesick for Another World,Ottessa Moshfegh
McGlue,Ottessa Moshfegh
Lapvona,Ottessa Moshfegh
Transit,Rachel Cusk
Cat Poems,Tynan Kogane
The Cat Who Saved Books,Sosuke Natsukawa
A Man and His Cat,Umi Sakurai
The Last House on Needless Street,Catriona Ward
The Guest Cat,Takashi Hiraide
I Am a Cat,Natsume Sōseki
The Master and Margarita,Mikhail Bulgakov
Down and Out in Paris and London,George Orwell
Homesick for Another World,Ottessa Moshfegh
Sandman,Neil Gaiman
Reality Boy,A.S. King
Three Streets (Storybook ND Series),Yoko Tawada
Miniature Rooms: The Thorne Rooms at the Art Institute of Chicago,
Mexican Gothic,Silvia Moreno-Garcia
The Time Machine,H. G. Wells
Swimming Studies,Leanne Shapton
"Briefly, A Delicious Life",Nell Stevens
Jane Austen at Home: A Biography,Lucy Worsley
Beach Read,Emily Henry
The Unexpected Everything,Morgan Matson
Pachinko,Min Jin Lee
I Hold a Wolf,the Ears: Stories
The Hole,Hiroko Oyamada
Sea of Tranquility,Emily St. John Mandel
Tender Is the Flesh,Agustina Bazterrica
Inhabiting the Negative Space,Jenny Odell
We Spread,Iain Reid
The Last House on Needless Street,Catriona Ward
Saga,Brian K. Vaughan and Fiona Staples
I Want to Die But I Want to Eat Tteokbokki: A Memoir,Baek Se-hee
Thieves,Lucie Bryon
Homage to Catalonia,George Orwell
Franny and Zooey,J. D. Salinger
The Climate Diet: 50 Simple Ways to Trim Your Carbon Footprint,Paul Greenberg
Sister Woman,Jessie Sime
"I, Robot",Isaac Asimov
Random Passage,Bernice Morgan
Novelist as a Vocation,Haruki Murakami
A Visit,Shirley Jackson
Thieves,Lucie Bryon
Three Streets (Storybook ND Series),Yoko Tawada
Scattered All Over the Earth,Yoko Tawada
The Last Children of Tokyo,Yoko Tawada
White Oleander,Janet Fitch
Cat,R. L. Stine
A Street Cat Named Bob,James Bowen
The Dalai Lama's Cat,David Michie
Fight Night,Miriam Toews
The Great Gatsby,F. Scott Fitzgerald
The Innocents,Michael Crummey
The Interestings,Meg Wolitzer
Seven Years of Darkness,You-Jeong Jeong
We Were Liars,E. Lockhart
The Christmas Bookshop,Jenny Colgan
My Year of Rest and Relaxation,Ottessa Moshfegh
"It's a Good Life, If You Don't Weaken",Seth
Wintering: The Power of Rest and Retreat in Difficult Times,Katherine May
Nothing Much Happens: Cozy and Calming Stories to Soothe Your Mind and Help You Sleep,Kathryn Nicolai
Legends & Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree
I Want to Die But I Want to Eat Tteokbokki: A Memoir,Baek Se-hee
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin
The Time Machine,H. G. Wells
The Spinning Heart,Donal Ryan
All We Shall Know,Donal Ryan
Blood Red Road,Moira Young
The English Understand Wool (Storybook ND Series),Helen DeWitt
Three Streets (Storybook ND Series),Yoko Tawada
Spadework for a Palace (Storybook ND Series),László Krasznahorkai
The Dark Tower,Stephen King
My Dad Wrote a Porno: The Fully Annotated Edition of Rocky Flintstone's Belinda Blinked,"Alice Levine, James Cooper, and Jamie Morton"
Double Booked,Lily Lindon
The English Understand Wool (Storybook ND Series),Helen DeWitt
"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki
The Mad Kyoto Shoe Swapper and Other Short Stories,Rebecca Otowa
Stay True,Hua Hsu
Legends & Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree
A Man and His Cat,Umi Sakurai
We Spread,Iain Reid
We Had to Remove This Post,Hanna Bervoets
Spinning,Tillie Walden
Nothing Much Happens: Cozy and Calming Stories to Soothe Your Mind and Help You Sleep,Kathryn Nicolai
Ghachar Ghochar (घाचर घोचर),Vivek Shanbhag
We Had to Remove This Post,Hanna Bervoets
"Briefly, A Delicious Life",Nell Stevens
Breaking Time,Sasha Alsberg
Doughnuts and Doom,Balazs Lorinczi
Twelve Percent Dread,Emily McGovern
Cat Brushing,Jane Campbell
Em,Kim Thúy
Living Rooms,Sam Johnson-Schlee
I Didn't Do The Thing Today: On letting go of productivity guilt,Madeleine Dore
Girl Online: A User Manual,Joanna Walsh
Dry,Augusten Burroughs
Eileen,Ottessa Moshfegh
Lapvona,Ottessa Moshfegh
We Need to Talk About Kevin,Lionel Shriver
My Year of Rest and Relaxation,Ottessa Moshfegh
Grotesque,Natsuo Kirino
Nightbitch,Rachel Yoder
American Psycho,Bret Easton Ellis
Homesick for Another World,Ottessa Moshfegh
We Had to Remove This Post,Hanna Bervoets
The Making of Home: The 500-Year Story of How Our Houses Became Our Homes,Judith Flanders
Look Back,Tatsuki Fujimoto
Into The Forest And All The Way Through,Cynthia Pelayo
Jo & Rus,Audra Winslow
The Magic Fish,Trung Le Nguyen
Women Talking,Miriam Toews
All My Puny Sorrows,Miriam Toews
A Man Called Ove,Fredrik Backman 
Never Let Me Go,Kazuo Ishiguro
Into The Forest And All The Way Through,Cynthia Pelayo
Look Back,Tatsuki Fujimoto
Chainsaw Man,Tatsuki Fujimoto
No Longer Human,Junji Ito
A School Frozen in Time,Mizuki Tsujimura
Lonely Castle in the Mirror,Mizuki Tsujimura
Your Lie in April,Naoshi Arakawa
Lapvona,Ottessa Moshfegh
Animal Farm,George Orwell
The Great Gatsby,F. Scott Fitzgerald
"Briefly, A Delicious Life",Nell Stevens
Fever Dream,Samanta Schweblin
Afternoon at Mcburger's,Ana Galvan
Night Film,Marisha Pessl
The Hunger Games,Suzanne Collins
Twilight,Stephanie Meyer
Horns,Joe Hill
The Ghost in the House,Sara O'Leary
Sheets,Brenna Thummler
It,Stephen King
The Summoning,Kelley Armstrong
Dark Matter,Blake Crouch
Ballad for Sophie,Filipe Melo and Juan Cavia
The Seven Moons of Maali Almeida,Shehan Karunatilaka
Split Tooth,Tanya Tagaq
On Earth We’re Briefly Gorgeous,Ocean Vuong
Ninth House,Leigh Bardugo
Pale Fire,Vladimir Nabokov
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed
Anne of Green Gables: A Graphic Novel,"Mariah Marsden, Brenna Thummler"
The Starless Sea,Erin Morgenstern
The Flatshare,Beth O'Leary
Gideon the Ninth,Tamsyn Muir
Animal Farm: A Fairy Story,Bernardi Odyr
W-3,Bette Howland
Three Guineas,Virginia Woolf
Carrie,Stephen King
Replay,Ken Grimwood
The Sirens of Titan,Kurt Vonnegut
"God Bless You, Mr. Rosewater",Kurt Vonnegut
The Silmarillion,J. R. R. Tolkien
Motherthing,Ainslie Hogarth
Ducks: Two Years in the Oil Sands,Kate Beaton
Anya's Ghost,Vera Brosgol
The Perks of Being a Wallflower,Stephen Chbosky
The Great Gatsby,F. Scott Fitzgerald
The Outsiders,S. E. Hinton
The Catcher in the Rye,J. D. Salinger
Animal Farm,George Orwell
Macbeth,William Shakespeare
Persuasion,Jane Austen
The Bell Jar,Sylvia Plath
The Time Machine,H. G. Wells
The Chrysalids,John Wyndham
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino
I Know Why the Caged Bird Sings,Maya Angelou
I Want to Die But I Want to Eat Tteokbokki: A Memoir,Baek Se-hee
Sketch,Sketch Along Nova Scotia's South Shore
Lapvona,Ottessa Moshfegh
My Year of Rest & Relaxation,Ottessa Moshfegh
Death in Her Hands,Ottessa Moshfegh
Homesick for Another World,Ottessa Moshfegh
Tender Is the Flesh,Agustina Bazterrica
In the Miso Soup,Ryū Murakami
The Invisible Life of Addie LaRue,V. E. Schwab
Vicious,V. E. Schwab
Fairy Tale,Stephen King
Our Missing Hearts,Celeste Ng
Little Fires Everywhere,Celeste Ng
Saha,Cho Nam-ju
"Kim Ji-young, Born 1982",Cho Nam-ju
Saving Time: Discovering a Life Beyond the Clock,Jenny Odell
How to Do Nothing: Resisting the Attention Economy,Jenny Odell
Sandman (Box Set),Neil Gaiman
Forensics: The Anatomy of Crime,Val McDermid
Tender Is the Flesh,Agustina Bazterrica 
Christine,Stephen King
Carrie,Stephen King
Beautiful Darkness,Fabien Vehlmann and Marie Pommepuy
Red at the Bone,Jacqueline Woodson
Swimming Studies,Leanne Shapton
Sketch,Sketch Along Nova Scotia's South Shore
Lapvona,Ottessa Moshfegh
The Unexpected Everything,Morgan Matson
The Last House on Needless Street,Catriona Ward
"Briefly, A Delicious Life",Nell Stevens
Novelist as a Vocation,Haruki Murakami
Out,Natsuo Kirino
Boy Swallows Universe,Trent Dalton
Lonely Castle in the Mirror,Mizuki Tsujimura
Reality Boy,A.S. King
The Nickel Boys,Colson Whitehead
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed
I Know Why the Caged Bird Sings,Maya Angelou
Stray,Stephanie Danler
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino
A Mind Spread Out on the Ground,Alicia Elliott
The White Album,Joan Didion
I Want to Die But I Want to Eat Tteokbokki: A Memoir,Baek Se-hee
Onion Skin,Edgar Camacho
Jane Austen at Home: A Biography,Lucy Worsley
My Year of Rest and Relaxation,Ottessa Moshfegh
Audition,Ryū Murakami
I'm Glad My Mom Died,Jennette McCurdy
In the Dream House,Carmen Maria Machado
Forensics: The Anatomy of Crime,Val McDermid
Beautiful Darkness,Fabien Vehlmann and Marie Pommepuy
The Storied Life of A. J. Fikry,Gabrielle Zevin
I'm Thinking of Ending Things,Iain Reid
Audition,Ryū Murakami
Sketch,Sketch Along Nova Scotia's South Shore
My Year of Rest and Relaxation,Ottessa Moshfegh
We Ride Upon Sticks,Quan Barry
Twilight,Stephanie Meyer
Ballad for Sophie,Filipe Melo and Juan Cavia
Bunny,Mona Awad
Fangirl Vol. II,Rainbow Rowell
Foe,Iain Reid
I'm Thinking of Ending Things,Iain Reid
We Spread,Iain Reid
The Final Girl Support Group,Grady Hendrix
Reality Boy,A.S. King
Miniature Rooms: The Thorne Rooms at the Art Institute of Chicago,
"Briefly, A Delicious Life",Nell Stevens
Ghost Lover: Stories,Lisa Taddeo
The Ghost in the House,Sara O'Leary
When Darkness Loves Us,Elizabeth Engstrom
A Connecticut Yankee in King Arthur's Court,Mark Twain
The Perks of Being a Wallflower,Stephen Chbosky
The Green Mile,Stephen King
The Secret History,Donna Tartt
The Melancholy Death of Oyster Boy & Other Stories,Tim Burton
I'm Glad My Mom Died,Jennette McCurdy
Nothing But Blackened Teeth,Cassandra Khaw
Reality Boy,A.S. King
The Alpine Path,Lucy Maud Montgomery
Death in Her Hands,Ottessa Moshfegh
Down and Out in Paris and London,George Orwell
Spinning Heart,Donal Ryan
The Best Laid Plans,Terry Fallis
A Beautifully Foolish Endeavor,Hank Green
My Best Friend's Exorcism,Grady Hendrix
Bunny,Mona Awad
Great Expectations,Charles Dickens
If I Had an Old House on the East Coast,Wanda Baxter
Ballad for Sophie,Filipe Melo and Juan Cavia
The Night Circus,Erin Morgenstern
The Starless Sea,Erin Morgenstern
The Perks of Being a Wallflower,Stephen Chbosky
Lolita,Vladimir Nabokov
Twilight,Stephanie Meyer
Animal Farm,George Orwell
No Relation,Terry Fallis
Albatross,Terry Fallis
Bliss Montage,Ling Ma
In the Dream House,Carmen Maria Machado
I Want to Die But I Want to Eat Tteokbokki: A Memoir,Baek Se-hee
Diary of a Void: A Novel,Emi Yagi
Free Food for Millionaires,Min Jin Lee
Billy Summers,Stephen King
Fairy Tale,Stephen King
Sketch,Sketch Along Nova Scotia's South Shore
If I Had an Old House on the East Coast,Wanda Baxter
Ghost Lover: Stories,Lisa Taddeo
Jane Austen at Home: A Biography,Lucy Worsley
Men Without Women,Haruki Murakami
The Elephant Vanishes,Haruki Murakami
Death,Water
Novelist as a Vocation,Haruki Murakami
Death in Her Hands,Ottessa Moshfegh
Homesick for Another World,Ottessa Moshfegh
Lapvona,Ottessa Moshfegh
McGlue,Ottessa Moshfegh
A Certain Hunger,Chelsea G. Summers
Nothing But Blackened Teeth,Cassandra Khaw
Inhabiting the Negative Space,Jenny Odell
Good Omens,Neil Gaiman and Terry Pratchett
A Certain Hunger,Chelsea G. Summers
Ballad for Sophie,Filipe Melo and Juan Cavia
The Great Gatsby,F. Scott Fitzgerald
The Name of the Wind,Patrick Rothfuss
The Storied Life of A. J. Fikry,Gabrielle Zevin
Nightbitch,Rachel Yoder
The Resting Place,Camilla Sten
Wonderland,Zoje Stage
Comfort Me With Apples,Catherynne M. Valente
We Spread,Iain Reid
I'm Thinking of Ending Things,Iain Reid
Hidden Pictures,Jason Rekulak
The Vegetarian,Han King
The Memory Police,Yōko Ogawa
The Housekeeper and the Professor,Yōko Ogawa
My Best Friend's Exorcism,Grady Hendrix
Moon of the Crusted Snow,Waubgeshig Rice
Joyland,Stephen King
Through the Woods,Emily Carroll
The Ghost in the House,Sara O'Leary
The Final Girl Support Group,Grady Hendrix
Nothing But Blackened Teeth,Cassandra Khaw
